title,company,location,contract
کارشناس پشتیبانی نرمافزار (خانم-مشهد),بین المللی توتال ناو | Total NAV,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس ارشد Python (امریه-آقا-شیراز),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,فارس، شیراز,قرارداد تماموقت  
برنامهنویس موبایل,داده پردازی آرین سیستم | ArianSystem Co,تهران، تهران,قرارداد تماموقت  
کارشناس انفورماتیک (رشت),صنعتی پارس خزر | Parskhazar,گیلان، رشت,قرارداد تماموقت  
برنامهنویس ارشد بکاند (Senior Backend Developer-تبریز),نرم افزاری ستاره تبریز | Tabriz Star software company,آذربایجان شرقی، تبریز,قرارداد تماموقت  
Angular Developer,بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
کارشناس ارزیابی امنیتی نرمافزار,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
پشتیبان فنی و راهبر سامانه,داده و هوش مصنوعی الگوریتم | Data and AI Algorithms,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ نرمافزارهای موبایل (Android),نوآوران ارتباطات دوران | Douran Group,تهران، تهران,قرارداد تماموقت  
کارشناس شکار تهدید,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
برنامهنویس C# (Windows App),داریان پرداز پویا | Darian Pardaz Pouya,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ وب,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
Scrum Master,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی (ساری),درنیکا | DORNICA,مازندران، ساری,قرارداد تماموقت  
متخصص هوش مصنوعی (ساری),درنیکا | DORNICA,مازندران، ساری,قرارداد تماموقت  
(Net & React.) Full-Stack Developer,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار (QA),فناوری سروین | Sarveen Technologies,تهران، تهران,قرارداد تماموقت  
تحلیلگر و طراح نرم افزار,رایان پرداز کاوش  | Rayan Pardaz Kavosh,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی نرمافزار,پویا | Pooya Co.,تهران، تهران,قرارداد تماموقت  
(Software Engineer(AdTech,اسمارتک | Smartech,تهران، تهران,قرارداد تماموقت  
Senior Flutter Developer (Remote),بامبو | Bamboo,تهران، تهران,قرارداد دورکاری  
Senior JAVA Developer,حامی سیستم شریف | Hami System Sharif,تهران، تهران,قرارداد تماموقت  
کارشناس فروش (اصفهان),گسترش طراحان نقش الماس | Inoti,اصفهان، اصفهان,قرارداد پارهوقت  
Senior .NET Developer (امریه سربازی-غائبین),حامی سیستم شریف | Hami System Sharif,تهران، تهران,قرارداد تماموقت  
Senior JAVA Developer (امریه سربازی-غائبین),حامی سیستم شریف | Hami System Sharif,تهران، تهران,قرارداد تماموقت  
طراح رابط و تجربه کاربری (UI/UX-مشهد),آیما | AIMA,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس Back-End (تبریز),تجارت الکترونیک آذرآنلاین | Azaronline,آذربایجان شرقی، تبریز,قرارداد تماموقت  
پژوهشگر/محقق (مهندسی کامپیوتر-آقا),داده پردازی نوین | Dew Data Proccesing,تهران، تهران,قرارداد تماموقت  
مدیر تیم برنامهنویسی (Technical Team Lead-دورکاری),تک یونیون گراک | Tech Union Grok,تهران، تهران,قرارداد دورکاری  
سرپرست تیم هوش مصنوعی (AI Team Lead),شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End (آمل-.NET),لایت کمپانی | Light Company,مازندران، آمل,قرارداد تماموقت  
برنامهنویس Net. (مشهد),دایرکت | Direct,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس Laravel(قم),مركز جهانی اطلاع رسانی آل البیت(ع) | Aalulbayt Global Information Center,قم، قم,قرارداد پارهوقت  
برنامه نویس بک اند,ریشه های درخت انبه | ROMT,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار,خدمات روز تجارت الکترونیک عرش |  Creative E-commerce Service,تهران، تهران,قرارداد تماموقت  
کارشناس مستندسازی نرمافزار,موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,قرارداد تماموقت  
تحلیلگر نرمافزار,رایان هم افزا | Rayan Ham Afza,تهران، تهران,قرارداد تماموقت  
توسعهدهندهٔ بکاند (Python-مشهد),دانش بنیان هوش پرداز پارس تک  | Hoosh Pardaz Knowledge Enterprise,خراسان رضوی، مشهد,قرارداد تماموقت  
Product Designer (UI/UX),نت بار | Netbar,تهران، تهران,قرارداد تماموقت  
برنامهنویس Full Stack,ایده ماندگار بارمان | Ideh Mandegar Barman,تهران، تهران,قرارداد تماموقت  
کارشناس نرمافزار (کرج),ماهان تراشه | Mahan Tarashe,البرز، کرج,قرارداد تماموقت  
مهندس نرم افزار هوش مصنوعی (آقا),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,تهران، تهران,قرارداد تماموقت  
مهندس نرم افزار (آقا-شیراز),مهندسی توسعه فناوری اطلاعات و ارتباطات مهرپارس | Mehr-e Pars ICT,فارس، شیراز,قرارداد تماموقت  
برنامهنویس بکاند node.js(Senior Backend Developer-مشهد),زیست فناوران اندیشه رستاک | zist fannavaran andishe rastak,خراسان رضوی، مشهد,قرارداد تماموقت  
Full-stack Developer (دولت آباد-اصفهان),الکترونیک رهرو ماهان | Electronic Rahro Mahan,اصفهان، دولت آباد-اصفهان,قرارداد تماموقت  
برنامهنویس C++/C,نو اندیش | Noandish,تهران، تهران,قرارداد تماموقت  
برنامهنویس پایتون (Python Developer),داده پردازان فرجاد | Data Processing Farjad,تهران، تهران,قرارداد تماموقت  
کارشناس طراحی سایت (سئو-دورکاری),سئو پرتاب | Seopartab,تهران، تهران,قرارداد دورکاری  
برنامهنویس Back-End(تبریز-PHP),فروشگاه تخصصی الکترونیک ECA | ECA,آذربایجان شرقی، تبریز,قرارداد تماموقت  
Business Operation Technical Team Leader,ایرانسل لبز | Irancell Labs,تهران، تهران,قرارداد تماموقت  
Scrum Master (امریه یا پروژه جایگزین خدمت-آقا),توسعه فناوری اطلاعات استیناس | Stinas,تهران، تهران,قرارداد تماموقت  
کارشناس تست نرمافزار(امریه یا پروژه کسر از خدمت-آقا),توسعه فناوری اطلاعات استیناس | Stinas,تهران، تهران,قرارداد تماموقت  
کارشناس بلاکچین (اصفهان),ایرانیکارت | IraniCard,اصفهان، اصفهان,قرارداد تماموقت  
توسعهدهنده ارشد Back-End,پیشرو نت انرژی | Pishro Net Energy,تهران، تهران,قرارداد تماموقت  
Senior Virtualization and Storage Engineer,والکس | Wallex,تهران، تهران,قرارداد تماموقت  
Golang Developer (مشهد),ویسپو | Wispo,خراسان رضوی، مشهد,قرارداد تماموقت  
Flutter Developer (پروژهای),دیناوین | Dinawin,تهران، تهران,قرارداد تماموقت  
کارشناس تحلیل بدافزار,پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,تهران، تهران,قرارداد تماموقت  
React) Senior Front-End-خانم),مفید | Mofid,تهران، تهران,قرارداد تماموقت  
Django) Senior Python-خانم),مفید | Mofid,تهران، تهران,قرارداد تماموقت  
کارشناس فروش و بازاریابی(خانم-مشهد),پویا گستران دنیای فناوری | Pouya Gostaran Donyaye Fanavary,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس ارشد Full-Stack (زبلاین),صباایده | Saba Idea,تهران، تهران,قرارداد تماموقت  
کارشناس مجازی سازی و استوریج,بیمه دات کام | Bimeh.Com,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی و نصب نرم افزار,داریان پرداز پویا | Darian Pardaz Pouya,تهران، تهران,قرارداد تماموقت  
JavaScript) Senior Full-Stack Developer-دورکاری),روبواپیکس | RoboEpics,تهران، تهران,قرارداد دورکاری  
Senior JAVA Developer,توسعه سرمایه پیشگامان پویا | Bmicc,تهران، تهران,قرارداد تماموقت  
کارشناس پایگاه داده (Data Warehouse),دانش بنیان گروه فن آوری دادمان ایرانیان | Dademan,تهران، تهران,قرارداد تماموقت  
تحلیلگر داده (Data Analyst),فناوری‌های علوم داده حسابا | Hesaba,تهران، تهران,قرارداد تماموقت  
Java Developer(حضوری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد تماموقت  
React Developer(حضوری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد تماموقت  
کارآموز برنامهنویسی Front-End,لوما | Looma,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی (دورکاری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد دورکاری  
Golang Developer(حضوری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد تماموقت  
متخصص هوش مصنوعی(حضوری),پژوهنده راه | Pazhouhande-Rah,تهران، تهران,قرارداد تماموقت  
Front-End Developer (دورکاری),کاتا گروپ | Kata Group,تهران، تهران,قرارداد دورکاری  
Senior 3D Animator,استودیو پالیدین | Polydin Studio,تهران، تهران,قرارداد تماموقت  
Node.js) Senior Back-End Developer-تبریز),نرم افزاری ستاره تبریز | Tabriz Star software company,آذربایجان شرقی، تبریز,قرارداد تماموقت  
