title,company,location,contract
برنامهنویس Front-End (آقا),فورمال توسعه | ّForMal Dev,تهران، تهران,قرارداد تماموقت  
ادمین سایت وردپرس (آقا),فولاد فراز فروزان | Foolad Faraz Foroozan,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد پایتون,نت‌بان شریف | NetBaan Sharif,تهران، تهران,قرارداد تماموقت  
برنامهنویس بکاند (مشهد),مکعب | Mokaab,خراسان رضوی، مشهد,قرارداد پارهوقت  
Oracle Database Administrator (DBA),پرداخت الکترونیک پاسارگاد | Pasargad Electronic Payment,تهران، تهران,قرارداد تماموقت  
ML/LLM Engineer (دورکاری),آیس | ICE Global,تهران، تهران,قرارداد دورکاری  
برنامهنویس ارشد Laravel (مشهد),کیف پول من | KifPool.me,خراسان رضوی، مشهد,قرارداد تماموقت  
اسکرام مستر (Scrum Master),الگنت هوپو | Elegant Hoopoe,تهران، تهران,قرارداد تماموقت  
برنامهنویس وب (ASP.NET-مشهد),همتا رایانه | Hamta Rayane,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس Back-End Developer (تبریز-PHP/Laravel),آراز | Araz,آذربایجان شرقی، تبریز,قرارداد تماموقت  
Laravel) Senior Back-End Developer-شیراز),نواندیشان فناوری اطلاعات الوند | Noo Andishan Fanavari Etelaat Alvand,فارس، شیراز,قرارداد تماموقت  
Senior Front-End Developer,دیناوین | Dinawin,تهران، تهران,قرارداد پارهوقت  
Swift) iOS Developer-شیراز),نواندیشان فناوری اطلاعات الوند | Noo Andishan Fanavari Etelaat Alvand,فارس، شیراز,قرارداد تماموقت  
برنامهنویس (Front-End (Angular,کارلنسر | Karlancer,تهران، تهران,قرارداد تماموقت  
ادمین شبکههای اجتماعی,ژاکت | Zhaket,تهران، تهران,قرارداد تماموقت  
برنامهنویس (Front-End (Vue.Js,نو ره‌اندیشان تیسا (نو رهند) | Norahand,تهران، تهران,قرارداد تماموقت  
برنامهنویس Node.JS (قائم شهر),رادین | RADIN,مازندران، قائم شهر,قرارداد تماموقت  
توسعهدهندهی بکاند (Golang-قم),رسا سامانه افق | Rasa Samane Ofogh,قم، قم,قرارداد تماموقت  
توسعهدهنده فولاستک,سازمان مهاجرتی آر اندکی | R&K Immigration Group Company,تهران، تهران,قرارداد تماموقت  
Front-End Developer,تادسی | Tadsi,تهران، تهران,قرارداد تماموقت  
برنامهنویس C#.Net (قزوین),اوات | Avat,قزوین، قزوین,قرارداد تماموقت  
کارشناس پشتیبانی فنی نرمافزار,رایان پرتونگار | Rayan Parto Negar,تهران، تهران,قرارداد تماموقت  
Front-End Developer,فیروزه دیجیتال | Turquoise Digital,تهران، تهران,قرارداد تماموقت  
توسعه دهنده اپلیکیشن,خانه هوش ایران | Iran Ai House,تهران، تهران,قرارداد تماموقت  
مدیر عملیات,آکادمی دارایی | Daraei Academy,مازندران، بابلسر,قرارداد تماموقت  
اسکرام مستر (Scrum Master-بابلسر),آکادمی دارایی | Daraei Academy,مازندران، بابلسر,قرارداد تماموقت  
کارشناس پایگاه داده (DBA),شریف همراه پژوهان علم و فناوری (گروه ICT) | Sharif Hamrah,تهران، تهران,قرارداد تماموقت  
Mid-level Flutter Developer (آقا-مشهد-دورکاری),داده پردازی افق نو | New Horizon,خراسان رضوی، مشهد,قرارداد تماموقت  
Net-Angular) Senior Full-Stack Developer.),بلوبیت سافت | BlueBit Soft,تهران، تهران,قرارداد تماموقت  
توسعهدهنده PHP (FullStack),شریف همراه پژوهان علم و فناوری (گروه ICT) | Sharif Hamrah,تهران، تهران,قرارداد تماموقت  
متخصص بینایی ماشین (Computer Vision Specialist),شریف کلینیک | Sharif Clinic,تهران، تهران,قرارداد تماموقت  
Front-end Developer (Vue.js /Nuxt3-دورکاری),پویش دورکاران آریا | BMS Aria,تهران، تهران,قرارداد دورکاری  
توسعهدهنده خدمت (BPMS-خانم-قم),رسا سامانه افق | Rasa Samane Ofogh,قم، قم,قرارداد تماموقت  
برنامهنویس ارشد React-Next) Front-End-دورکاری),وب آریو | Web Ario,تهران، تهران,قرارداد دورکاری  
برنامهنویس .NET (قم),رسا سامانه افق | Rasa Samane Ofogh,قم، قم,قرارداد تماموقت  
Techlead,هلدینگ چابک  | Chabok Holding,تهران، تهران,قرارداد تماموقت  
طراح سایت (وردپرس-بابلسر),آکادمی دارایی | Daraei Academy,مازندران، بابلسر,قرارداد پارهوقت  
