title,company,location,contract
کارشناس هوش مصنوعی (کرج),نرم افزاری امن پرداز | Amn Pardaz,البرز، کرج,قرارداد تماموقت  
Software Engineer (BPMS),دیجی‌‌کالا | Digikala,تهران، تهران,قرارداد تماموقت  
برنامهنویس React Native,پاترا ویژن | Patra Vision,تهران، تهران,قرارداد تماموقت  
تحلیلگر ارشد امنیت (Senior Security Analyst-آقا),خدمات انفورماتیک | ISC,تهران، تهران,قرارداد تماموقت  
طراح سایت (WordPress),تهران سایت  | Tehran Site,تهران، تهران,قرارداد تماموقت  
مهندس هوش مصنوعی Senior AI Engineer,هوش مصنوعی آدان | AdanAI,تهران، تهران,قرارداد تماموقت  
برنامهنویس Back-End) Python),توسعه ثروت پاسارگاد (بیتپول) | Bitpull,تهران، تهران,قرارداد تماموقت  
کارشناس فارنزیک و تحلیل بدافزار (آقا),خدمات انفورماتیک | ISC,تهران، تهران,قرارداد تماموقت  
توسعهدهنده Node.JS,تجارت الکترونیک ایران خودرو | IKEC,تهران، تهران,قرارداد تماموقت  
مدیر ارشد فنی (CTO-آقا),هدراه | Hedrah,تهران، تهران,قرارداد تماموقت  
AI Software Engineer,کروز | Crouse,تهران، تهران,قرارداد تماموقت  
کارشناس تحلیل و بهبود فرایندهای CRM,اتو خطیب | Autokhatib,تهران، تهران,قرارداد تماموقت  
برنامهنویس VHDL) FPGA),شرکت مهندسی موج پژوه البرز | Mouj Pajooh Alborz,تهران، تهران,قرارداد تماموقت  
برنامهنویس WPF/Blazor,کامیونر | Communere LTD,تهران، تهران,قرارداد پارهوقت  
برنامهنویس جاوا (Back-End),هلدینگ فناوری نوآوری آراد | Arad Innovation Technology Holding,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد فرانتاند (React.js-Next.js-مشهد),گروه نرم افزاری پارت | Part Software Group,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس NodeJs-fastify) Back-End-دورکاری),راوی نوین پیام سپیدار | Ravi Novin Payam Sepidar,تهران، تهران,قرارداد دورکاری  
