title,company,location,contract
کارشناس هوش مصنوعی (توسعه چت بات),هایمارت | Himart,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Node.js,آذرین نوآوران | NKIT,تهران، تهران,قرارداد تماموقت  
برنامهنویس وردپرس (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
تحلیلگر نرمافزار,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
طراح و برنامهنویس Front End,ایرانیان | Iranian,تهران، تهران,قرارداد تماموقت  
Back-End Developer,فراکنش | Farakonesh,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer (آقا-دورکاری),پولیتوس | Politusanalytics,تهران، تهران,قرارداد دورکاری  
توسعه دهنده وردپرس (Wordpress),پرسیس گالری | Persisgallery,تهران، تهران,قرارداد پارهوقت  
Senior AI Engineer (دورکاری),تیم دانش‌بنیان پتاپروس | PetaProc,تهران، تهران,قرارداد دورکاری  
متخصص هوش مصنوعی (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
برنامهنویس Front-End (React),آذرین نوآوران | NKIT,تهران، تهران,قرارداد تماموقت  
کارشناس تست نفوذ و ارزیابی امنیتی,داده کاوان هوشمند نارگان | Datall,تهران، تهران,قرارداد تماموقت  
Senior Software Engineer (Java),ازکی وام | Azki Vam,تهران، تهران,قرارداد تماموقت  
اسکرام مستر,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
کارشناس هوش مصنوعی (کرج),نرم افزاری امن پرداز | Amn Pardaz,البرز، کرج,قرارداد تماموقت  
Software Engineer (BPMS),دیجی‌‌کالا | Digikala,تهران، تهران,قرارداد تماموقت  
برنامهنویس React Native,پاترا ویژن | Patra Vision,تهران، تهران,قرارداد تماموقت  
تحلیلگر ارشد امنیت (Senior Security Analyst-آقا),خدمات انفورماتیک | ISC,تهران، تهران,قرارداد تماموقت  
طراح سایت (WordPress),تهران سایت  | Tehran Site,تهران، تهران,قرارداد تماموقت  
مهندس هوش مصنوعی Senior AI Engineer,هوش مصنوعی آدان | AdanAI,تهران، تهران,قرارداد تماموقت  
کارشناس هوش مصنوعی (توسعه چت بات),هایمارت | Himart,تهران، تهران,قرارداد تماموقت  
برنامهنویس ارشد Node.js,آذرین نوآوران | NKIT,تهران، تهران,قرارداد تماموقت  
برنامهنویس وردپرس (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
تحلیلگر نرمافزار,توسعه نرم افزارهای بانکی نگاه فردای کارآفرین | Negah-E Bank Karafarin,تهران، تهران,قرارداد تماموقت  
طراح و برنامهنویس Front End,ایرانیان | Iranian,تهران، تهران,قرارداد تماموقت  
Back-End Developer,فراکنش | Farakonesh,تهران، تهران,قرارداد تماموقت  
Senior Front-End Developer (آقا-دورکاری),پولیتوس | Politusanalytics,تهران، تهران,قرارداد دورکاری  
توسعه دهنده وردپرس (Wordpress),پرسیس گالری | Persisgallery,تهران، تهران,قرارداد پارهوقت  
Senior AI Engineer (دورکاری),تیم دانش‌بنیان پتاپروس | PetaProc,تهران، تهران,قرارداد دورکاری  
متخصص هوش مصنوعی (کرج-دورکاری),تک لاین | Techline,البرز، کرج,قرارداد دورکاری  
